/data/Automation/main/tests/unit_tests/3dworkbench
['./ccr01695171_NXP_output_raw_file', '0:00:04', 'PASSED']
['./t2b_example_spectre', '0:00:24', 'PASSED']
['./ccr01403544_outputdiff_with_spectre', '0:00:32', 'PASSED']
/data/Automation/main/tests/unit_tests/pwt
['./parser/from_packaged/1947421_DoubleQuotationInProperty', '0:00:01', 'PASSED']
['./parser/from_netlist/nokia_CCR01714946', '0:00:02', 'PASSED']
['./parser/from_netlist/1924567_DoubleQuotationInProperty', '0:00:01', 'PASSED']
['./parser/from_netlist/nokia_1787803', '0:00:01', 'PASSED']
/data/Automation/main/tests/unit_tests/bbs
['./app1_drv', '0:01:53', 'PASSED']
['./ind_1p0_1p7_network3_deem', '0:00:00', 'PASSED']
['./PSD_LNA_gate_Ind_source_degen_Lcm_8', '0:00:00', 'PASSED']
['./rtxd_24_amp2_FromLO_ADS1', '0:00:08', 'PASSED']
['./ForBBS.8.1.9TEST_grid-spara-vccpq', '0:04:49', 'PASSED']
['./lineNocausalEnforcement', '0:00:01', 'PASSED']
['./PC2-6400_SODIMM_x16_1_die_PSI_031709_183757', '0:09:53', 'PASSED']
/data/Automation/main/tests/unit_tests/spdsim
/data/Automation/main/tests/unit_tests/fdtd
['./dipole_antenna', '0:00:17', 'PASSED']
['./microstrip_trace', '0:03:00', 'PASSED']
['./three_traces', '0:02:39', 'PASSED']
['./wave_guide', '0:02:33', 'PASSED']
['./square_loop', '0:00:14', 'PASSED']
['./fem_fdtd_dipole', '0:00:58', 'PASSED']
['./patch_antenna_waveport', '0:00:42', 'PASSED']
['./lowpass_filter', '0:00:53', 'PASSED']
/data/Automation/main/tests/unit_tests/thermal/CFD
['./Static_NC_demo', '0:00:35', 'PASSED']
['./Static_NC_pcb_pkg_merge', '0:00:33', 'PASSED']
['./NegativeHTC', '0:00:18', 'PASSED']
['./3d_component_paraview', '0:00:19', 'PASSED']
['./3dComp_Static', '0:00:20', 'PASSED']
['./LocalRefTemperature', '0:00:29', 'PASSED']
/data/Automation/main/tests/unit_tests/thermal/MCAD
['./static_thermal', '0:00:17', 'PASSED']
['./from_allegro_sepic', '0:01:02', 'PASSED']
['./transient_thermal', '0:03:21', 'PASSED']
['./CelsiusEngineCase', '0:00:04', 'PASSED']
['./viscoBar', '0:00:45', 'PASSED']
['./transient_et_co-sim', '0:04:44', 'PASSED']
['./wire_resistance_etw', '0:00:27', 'PASSED']
['./3dComp_2R_static', '0:00:08', 'PASSED']
['./3d_2dpwrmap_volume', '0:00:36', 'PASSED']
['./static_electrical', '0:00:15', 'PASSED']
['./solid_extraction', '0:00:18', 'PASSED']
['./CelsiusFEMtwo_blocks', '0:00:06', 'PASSED']
['./CelsiusFEMCase_Bi_Beam', '0:00:04', 'PASSED']
['./CelsiusFEMCase_plane_stress_symBC', '0:00:06', 'PASSED']
['./plane_strain_dis_bc', '0:00:14', 'PASSED']
['./plane_stress_stress_bc', '0:00:20', 'PASSED']
['./two_blocks_atlas', '0:00:21', 'PASSED']
